Date,Open,High,Low,Close,Volume
14/04/2003,0.931145,0.931145,0.931145,0.931145,0
15/04/2003,0.934211,0.945707,0.934211,0.938043,454542
16/04/2003,0.938809,0.940342,0.921949,0.931912,447182
17/04/2003,0.934211,0.934977,0.921949,0.928846,449453
18/04/2003,0.928846,0.928846,0.928846,0.928846,0
21/04/2003,0.931145,0.934977,0.91965,0.92808,455207
22/04/2003,0.934977,0.957969,0.925781,0.938809,464067
23/04/2003,0.935744,0.938809,0.927314,0.935744,454633
24/04/2003,0.938809,0.938809,0.92808,0.932678,437918
25/04/2003,0.927314,0.934977,0.91965,0.920416,442289
28/04/2003,0.927314,0.933445,0.922715,0.931912,451241
29/04/2003,0.930379,0.942641,0.91965,0.926547,464380
30/04/2003,0.85834,0.938809,0.85834,0.931145,439079
01/05/2003,0.931145,0.931145,0.931145,0.931145,0
02/05/2003,0.934977,0.938043,0.927314,0.930379,506475
05/05/2003,0.934977,0.945707,0.931145,0.94494,528109
06/05/2003,0.942641,0.965632,0.942641,0.963333,597918
07/05/2003,0.950305,0.965632,0.934977,0.949538,524703
08/05/2003,0.950305,0.957969,0.934977,0.941108,460231
09/05/2003,0.934977,0.957202,0.934977,0.941108,496623
12/05/2003,0.951071,0.955669,0.946473,0.949538,422678
13/05/2003,0.946473,0.957969,0.937276,0.955669,459265
14/05/2003,0.957202,0.98096,0.954137,0.968698,550409
15/05/2003,0.995521,1.162591,0.993988,1.162591,562100
16/05/2003,1.241527,1.394036,1.212405,1.358017,1487652
19/05/2003,1.390971,1.436953,1.371811,1.412429,1357833
20/05/2003,1.303604,1.379475,1.303604,1.339624,686595
21/05/2003,1.310501,1.387139,1.310501,1.342689,665392
22/05/2003,1.371811,1.37641,1.350353,1.361848,462658
23/05/2003,1.356484,1.371045,1.349586,1.368746,466651
26/05/2003,1.364148,1.371811,1.333493,1.342689,442172
27/05/2003,1.367979,1.370279,1.289809,1.299006,487398
28/05/2003,1.318165,1.318165,1.282145,1.293641,425300
29/05/2003,1.295174,1.302837,1.274482,1.280613,451032
30/05/2003,1.29594,1.302837,1.266051,1.283678,451358
02/06/2003,1.289809,1.321997,1.288276,1.301305,488911
03/06/2003,1.295174,1.307436,1.274482,1.277547,502338
04/06/2003,1.28751,1.301305,1.268351,1.279846,469939
05/06/2003,1.299006,1.34882,1.299006,1.319698,481839
06/06/2003,1.341156,1.394803,1.326595,1.361082,519901
09/06/2003,1.378709,1.378709,1.322763,1.332726,498176
10/06/2003,1.314333,1.349586,1.314333,1.321997,477611
11/06/2003,1.302837,1.341156,1.266051,1.298239,486210
12/06/2003,1.295174,1.3151,1.295174,1.310501,456068
13/06/2003,1.339624,1.339624,1.281379,1.29594,483862
16/06/2003,1.29594,1.310501,1.27908,1.280613,473579
17/06/2003,1.306669,1.325829,1.292875,1.29594,484083
18/06/2003,1.310501,1.370279,1.288276,1.337324,582651
19/06/2003,1.364148,1.387139,1.342689,1.352652,599301
20/06/2003,1.378709,1.417794,1.360316,1.398634,657850
23/06/2003,1.440019,1.440019,1.37411,1.380241,671237
24/06/2003,1.379475,1.398634,1.364914,1.381008,510728
25/06/2003,1.381774,1.4017,1.381774,1.394036,382815
26/06/2003,1.391737,1.478337,1.380241,1.452281,569185
27/06/2003,1.502095,1.53275,1.476038,1.499796,616590
30/06/2003,1.540414,1.570302,1.487534,1.498263,792810
01/07/2003,1.504394,1.555741,1.502861,1.508992,639804
02/07/2003,1.53275,1.540414,1.509759,1.512058,523164
03/07/2003,1.540414,1.600957,1.53275,1.541947,704628
04/07/2003,1.555741,1.571069,1.533516,1.548078,572121
07/07/2003,1.563405,1.571069,1.533516,1.553442,491365
08/07/2003,1.563405,1.578733,1.533516,1.539647,498593
09/07/2003,1.528918,1.539647,1.452281,1.469907,548882
10/07/2003,1.479104,1.508992,1.425458,1.463776,505966
11/07/2003,1.482936,1.498263,1.463776,1.470674,515869
14/07/2003,1.502095,1.513591,1.490599,1.49903,508771
15/07/2003,1.502095,1.502095,1.440785,1.45458,478146
16/07/2003,1.482936,1.482936,1.456113,1.470674,443999
17/07/2003,1.456113,1.4883,1.433888,1.457645,442981
18/07/2003,1.449215,1.467608,1.394803,1.430056,435883
21/07/2003,1.450748,1.450748,1.417794,1.432355,445225
22/07/2003,1.398634,1.41013,1.381008,1.397868,439693
23/07/2003,1.417794,1.424691,1.387905,1.399401,446439
24/07/2003,1.402466,1.432355,1.398634,1.406298,440319
25/07/2003,1.429289,1.443851,1.417794,1.433121,460962
28/07/2003,1.440785,1.473739,1.440785,1.466075,491247
29/07/2003,1.458412,1.475272,1.433121,1.465309,477899
30/07/2003,1.490599,1.490599,1.420859,1.436187,517644
31/07/2003,1.41013,1.425458,1.394803,1.407065,504896
01/08/2003,1.379475,1.421626,1.379475,1.407831,487594
04/08/2003,1.413962,1.413962,1.387139,1.405532,475980
05/08/2003,1.394803,1.440785,1.394803,1.411663,506853
06/08/2003,1.417794,1.421626,1.399401,1.41013,441976
07/08/2003,1.417794,1.41856,1.400934,1.405532,443411
08/08/2003,1.424691,1.424691,1.397868,1.411663,413818
11/08/2003,1.410896,1.486768,1.410896,1.466075,590454
12/08/2003,1.509759,1.563405,1.495964,1.528152,684312
13/08/2003,1.555741,1.574901,1.519722,1.529685,636111
14/08/2003,1.525086,1.555741,1.518189,1.523554,535964
15/08/2003,1.523554,1.523554,1.523554,1.523554,0
18/08/2003,1.525086,1.545012,1.494431,1.511292,525499
19/08/2003,1.47987,1.513591,1.468375,1.476038,485519
20/08/2003,1.479104,1.486768,1.456879,1.463776,476046
21/08/2003,1.486768,1.509759,1.464543,1.497497,465437
22/08/2003,1.570302,1.570302,1.463776,1.473739,515896
25/08/2003,1.485235,1.502095,1.412429,1.423158,477794
26/08/2003,1.379475,1.456113,1.379475,1.441551,460688
27/08/2003,1.456113,1.482936,1.448449,1.459178,451776
28/08/2003,1.473739,1.482936,1.457645,1.465309,472496
29/08/2003,1.486768,1.52432,1.470674,1.485235,533576
01/09/2003,1.486768,1.747335,1.486768,1.70825,1085055
02/09/2003,1.754999,1.770326,1.624715,1.657669,1033579
03/09/2003,1.676062,1.723578,1.625481,1.644641,717337
04/09/2003,1.651538,1.663034,1.59406,1.607088,534555
05/09/2003,1.624715,1.647706,1.59406,1.616285,566380
08/09/2003,1.65537,1.670698,1.610154,1.622416,487763
09/09/2003,1.65537,1.684492,1.587163,1.617051,536760
10/09/2003,1.601724,1.639276,1.59406,1.613219,476098
11/09/2003,1.609388,1.65537,1.586396,1.601724,496519
12/09/2003,1.632379,1.647706,1.59406,1.611687,489472
15/09/2003,1.635444,1.635444,1.550377,1.572602,443072
16/09/2003,1.545012,1.565704,1.525086,1.543479,484658
17/09/2003,1.540414,1.600957,1.533516,1.548078,437070
18/09/2003,1.541947,1.555741,1.487534,1.49903,469521
19/09/2003,1.525086,1.531984,1.472206,1.497497,407750
22/09/2003,1.494431,1.555741,1.494431,1.531984,446204
23/09/2003,1.509759,1.525086,1.482936,1.512824,407646
24/09/2003,1.517423,1.541947,1.517423,1.527385,443438
25/09/2003,1.531217,1.53275,1.482936,1.497497,413439
26/09/2003,1.467608,1.531217,1.467608,1.508992,418071
29/09/2003,1.536582,1.536582,1.481403,1.503628,344818
30/09/2003,1.53275,1.53275,1.489067,1.497497,353090
01/10/2003,1.502095,1.519722,1.494431,1.498263,334705
02/10/2003,1.498263,1.498263,1.498263,1.498263,0
03/10/2003,1.457645,1.53275,1.457645,1.511292,355791
06/10/2003,1.570302,1.663034,1.563405,1.652305,484892
07/10/2003,1.685259,1.693689,1.586396,1.612453,185405
08/10/2003,1.69982,1.69982,1.600191,1.609388,167659
09/10/2003,1.64694,1.64694,1.609388,1.620117,46739
10/10/2003,1.647706,1.693689,1.647706,1.658436,255331
13/10/2003,1.705185,1.762663,1.678361,1.746569,281246
14/10/2003,1.800981,1.823973,1.676062,1.69982,443464
15/10/2003,1.686025,1.686025,1.59406,1.627014,274826
16/10/2003,1.633145,1.647706,1.611687,1.616285,241226
17/10/2003,1.624715,1.639276,1.595593,1.614752,198714
20/10/2003,1.59406,1.640043,1.571069,1.578733,277187
21/10/2003,1.571069,1.578733,1.525086,1.538881,196509
22/10/2003,1.525086,1.568003,1.517423,1.522021,244031
23/10/2003,1.495198,1.538881,1.495198,1.525086,208944
24/10/2003,1.53275,1.53275,1.476038,1.502095,231087
27/10/2003,1.472973,1.525086,1.472973,1.51589,344922
28/10/2003,1.509759,1.518189,1.472973,1.492899,344804
29/10/2003,1.456113,1.509759,1.456113,1.499796,345326
30/10/2003,1.570302,1.570302,1.487534,1.504394,348262
31/10/2003,1.502095,1.509759,1.476805,1.486001,361520
03/11/2003,1.494431,1.53275,1.494431,1.518955,355648
04/11/2003,1.548078,1.548078,1.486768,1.49673,366595
05/11/2003,1.494431,1.601724,1.494431,1.520488,523529
06/11/2003,1.548078,1.563405,1.522021,1.545778,520515
07/11/2003,1.570302,1.608621,1.557274,1.584097,545268
10/11/2003,1.609388,1.670698,1.597892,1.643875,418815
11/11/2003,1.632379,1.711316,1.632379,1.689857,593181
12/11/2003,1.709016,1.739671,1.65537,1.668399,439810
13/11/2003,1.651538,1.685259,1.518189,1.586396,401656
14/11/2003,1.571069,1.609388,1.563405,1.574134,301797
17/11/2003,1.574901,1.647706,1.574901,1.633912,53433
18/11/2003,1.620883,1.632379,1.597892,1.603257,405271
19/11/2003,1.601724,1.601724,1.586396,1.59406,399073
20/11/2003,1.587163,1.607088,1.54118,1.563405,424609
21/11/2003,1.544246,1.568003,1.53275,1.541947,393619
24/11/2003,1.54961,1.577966,1.548844,1.56034,315119
25/11/2003,1.584097,1.584097,1.548844,1.55804,310944
26/11/2003,1.55804,1.55804,1.55804,1.55804,0
27/11/2003,1.570302,1.624715,1.570302,1.611687,469782
28/11/2003,1.65537,1.65537,1.620883,1.643875,460140
01/12/2003,1.670698,1.693689,1.659202,1.681427,488037
02/12/2003,1.686792,1.686792,1.625481,1.669165,375938
03/12/2003,1.678361,1.754999,1.671464,1.696754,547460
04/12/2003,1.686025,1.754233,1.686025,1.706717,597566
05/12/2003,1.723578,1.754233,1.67453,1.69139,502586
08/12/2003,1.686025,1.732008,1.67453,1.702119,482413
09/12/2003,1.724344,1.928966,1.71668,1.892946,656923
10/12/2003,1.899844,1.954256,1.8393,1.873021,706011
11/12/2003,1.877619,1.992575,1.864591,1.879152,522772
12/12/2003,1.90061,1.946593,1.877619,1.926667,555080
15/12/2003,1.954256,2.15658,1.946593,2.111363,741373
16/12/2003,2.069213,2.26847,2.038558,2.233217,906748
17/12/2003,2.260807,2.680014,2.249311,2.680014,2299069
18/12/2003,2.720632,3.210346,2.682313,3.192719,4432410
19/12/2003,3.234103,3.668638,3.234103,3.467848,5306068
22/12/2003,3.509998,3.663273,3.342929,3.388911,3710688
23/12/2003,3.432594,3.559046,3.356723,3.375883,1630245
24/12/2003,3.433361,3.467081,3.181223,3.237935,1096721
25/12/2003,3.237935,3.237935,3.237935,3.237935,0
26/12/2003,3.41037,3.41037,3.039444,3.138306,1489309
29/12/2003,3.180457,3.257094,3.142138,3.163597,915556
30/12/2003,3.149802,3.211112,2.844785,2.982732,713005
31/12/2003,3.019518,3.042509,2.904562,2.942114,861366
01/01/2004,2.988863,3.240234,2.912226,3.204981,1973315
02/01/2004,3.257094,3.333732,3.150568,3.188887,1076456
05/01/2004,3.203448,3.217243,3.05094,3.093857,617347
06/01/2004,3.065501,3.195018,2.965872,2.99806,834812
07/01/2004,3.095389,3.134474,2.913758,2.964339,634675
08/01/2004,3.057837,3.103819,2.973536,3.012621,495971
09/01/2004,3.065501,3.119147,2.912226,2.943647,635876
12/01/2004,2.922188,3.180457,2.874673,3.017219,1088239
13/01/2004,3.080062,3.172793,3.011854,3.057837,664909
14/01/2004,3.080828,3.149802,3.050173,3.080062,718303
15/01/2004,3.092324,3.140605,2.996527,3.029481,621914
16/01/2004,3.034846,3.065501,2.873907,2.916824,489760
19/01/2004,2.927553,2.980433,2.835588,2.922188,559060
20/01/2004,2.944413,3.011088,2.824859,2.862411,560104
21/01/2004,2.880804,2.881571,2.309855,2.495317,600919
22/01/2004,2.383427,2.636331,2.377296,2.414082,649525
23/01/2004,2.529038,2.635564,2.437839,2.580385,503839
26/01/2004,2.580385,2.580385,2.580385,2.580385,0
27/01/2004,2.601077,2.912226,2.529038,2.735959,524116
28/01/2004,2.743623,3.065501,2.720632,2.909926,1156757
29/01/2004,2.929086,3.04864,2.844018,2.90073,738685
30/01/2004,2.949012,2.958208,2.712968,2.754352,654144
02/02/2004,2.754352,2.754352,2.754352,2.754352,0
03/02/2004,2.777344,2.835588,2.514477,2.5413,608983
04/02/2004,2.559693,2.642462,2.536702,2.611807,602824
05/02/2004,2.621003,2.659322,2.560459,2.571955,473527
06/02/2004,2.593413,2.643994,2.569656,2.591881,499141
09/02/2004,2.624069,2.651658,2.583451,2.614106,570516
10/02/2004,2.635564,2.746689,2.606442,2.652424,693276
11/02/2004,2.719099,2.759717,2.690743,2.74209,352868
12/02/2004,2.77811,2.788073,2.712968,2.732894,575318
13/02/2004,2.706071,2.845551,2.700706,2.825625,700192
16/02/2004,2.858579,2.887702,2.812597,2.848616,567894
17/02/2004,2.903029,2.905328,2.798036,2.870075,484958
18/02/2004,2.894599,2.935217,2.853215,2.868542,423278
19/02/2004,2.880804,2.880804,2.729062,2.759717,481043
20/02/2004,2.720632,2.79497,2.643994,2.74209,475184
23/02/2004,2.781942,2.781942,2.674649,2.700706,470174
24/02/2004,2.674649,2.912226,2.674649,2.791138,474702
25/02/2004,2.818728,2.835588,2.743623,2.821027,459422
26/02/2004,2.827924,2.903029,2.812597,2.838654,475406
27/02/2004,2.881571,2.911459,2.835588,2.893833,486706
01/03/2004,2.949778,2.965872,2.889234,2.935217,499350
02/03/2004,2.935217,2.935217,2.935217,2.935217,0
03/03/2004,3.063202,3.063202,2.928319,2.96204,468151
04/03/2004,2.985798,3.004191,2.927553,2.93675,398708
05/03/2004,2.965106,3.034846,2.946713,2.988097,580394
08/03/2004,2.996527,3.050173,2.985031,3.015686,515217
09/03/2004,3.027182,3.027182,2.951311,2.976601,484553
10/03/2004,3.103819,3.103819,2.942881,2.956675,439119
11/03/2004,2.912226,3.004191,2.906095,2.950544,419559
12/03/2004,3.065501,3.065501,2.853215,2.97047,458078
15/03/2004,3.065501,3.088492,2.950544,2.978134,577262
16/03/2004,2.912226,2.973536,2.890001,2.929852,442289
17/03/2004,2.927553,3.001892,2.921422,2.9789,404932
18/03/2004,2.959741,2.973536,2.927553,2.927553,369257
19/03/2004,2.973536,2.988863,2.912226,2.935217,444912
22/03/2004,2.860878,2.92602,2.860878,2.902263,412956
23/03/2004,2.896898,2.918357,2.866243,2.890001,545581
24/03/2004,2.889234,2.930619,2.889234,2.91759,483235
25/03/2004,2.912226,2.958208,2.912226,2.939049,440593
26/03/2004,2.950544,2.996527,2.950544,2.981966,405806
29/03/2004,2.967405,3.027182,2.965872,2.998826,263252
30/03/2004,2.999592,3.065501,2.981199,3.040977,178541
31/03/2004,3.011854,3.14597,3.00649,3.092324,405976
01/04/2004,3.103819,3.188121,3.080828,3.164363,287287
02/04/2004,3.172793,3.249431,3.130643,3.159765,520228
05/04/2004,3.218776,3.28775,3.165129,3.222608,728924
06/04/2004,3.257094,3.257094,3.162064,3.186588,776225
07/04/2004,3.257094,3.283918,3.142138,3.158232,821947
08/04/2004,3.126811,3.179691,3.073164,3.125278,799856
